Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 26",ARI,@,LAD,L,2.0,8.0,9.0,0-1,3.0,1.0,Yamamoto,Gallen,None,2:39,N,53712.0,.92,-1.0,
"Friday, Mar 27",ARI,@,LAD,L,4.0,5.0,9.0,0-2,3.0,2.0,Henriquez,Ginkel,Díaz,2:51,N,51540.0,.92,-2.0,
"Saturday, Mar 28",ARI,@,LAD,L,2.0,3.0,9.0,0-3,4.0,3.0,Klein,Morillo,Díaz,2:30,N,53340.0,1.21,-3.0,
"Monday, Mar 30",ARI,Home,DET,W,9.0,6.0,9.0,1-3,2.0,2.0,Soroka,Verlander,Sewald,3:07,N,48350.0,.99,1.0,
"Tuesday, Mar 31",ARI,Home,DET,W,7.0,5.0,9.0,2-3,2.0,2.0,Hoffmann,Vest,Sewald,2:29,N,28780.0,.95,2.0,
"Wednesday, Apr 1",ARI,Home,DET,W,1.0,0.0,9.0,3-3,2.0,1.0,Gallen,Skubal,Loaisiga,2:10,D,23166.0,1.10,3.0,
"Thursday, Apr 2",ARI,Home,ATL,L,2.0,17.0,9.0,3-4,2.0,1.5,López,Nelson,Bido,2:54,N,21600.0,.71,-1.0,
"Friday, Apr 3",ARI,Home,ATL,L,0.0,2.0,9.0,3-5,2.0,2.5,Suarez,Sewald,Iglesias,2:18,N,29192.0,.82,-2.0,
"Saturday, Apr 4",ARI,Home,ATL,W,2.0,1.0,9.0,4-5,2.0,2.5,Soroka,Elder,Sewald,2:14,D,37457.0,1.06,1.0,
"Sunday, Apr 5",ARI,Home,ATL,W-wo,6.0,5.0,10.0,5-5,2.0,2.5,Rashi,Payamps,None,2:55,D,25814.0,1.15,2.0,
"Tuesday, Apr 7",ARI,@,NYM,L-wo,3.0,4.0,10.0,5-6,2.0,4.0,Weaver,Sewald,None,3:08,D,34753.0,.67,-1.0,
"Wednesday, Apr 8",ARI,@,NYM,W,7.0,2.0,9.0,6-6,2.0,3.0,Nelson,Peterson,None,2:42,D,33422.0,.77,1.0,
