Home Team,Home Abbreviation,Home ID,Home Score,Home Q1,Home Q2,Home Q3,Home Q4,Away Team,Away Abbreviation,Away ID,Away Score,Away Q1,Away Q2,Away Q3,Away Q4
Oklahoma City Thunder,OKC,25,125.0,27.0,24.0,24.0,29.0,Houston Rockets,HOU,10,124.0,30.0,27.0,22.0,25.0
Los Angeles Lakers,LAL,13,109.0,22.0,32.0,25.0,30.0,Golden State Warriors,GS,9,119.0,28.0,27.0,35.0,29.0
New York Knicks,NY,18,119.0,33.0,32.0,22.0,32.0,Cleveland Cavaliers,CLE,5,111.0,23.0,27.0,37.0,24.0
Charlotte Hornets,CHA,30,136.0,38.0,39.0,34.0,25.0,Brooklyn Nets,BKN,17,117.0,32.0,28.0,37.0,20.0
Orlando Magic,ORL,19,125.0,38.0,31.0,21.0,35.0,Miami Heat,MIA,14,121.0,39.0,26.0,26.0,30.0
Atlanta Hawks,ATL,1,118.0,34.0,25.0,28.0,31.0,Toronto Raptors,TOR,28,138.0,36.0,29.0,45.0,28.0
Boston Celtics,BOS,2,116.0,28.0,23.0,35.0,30.0,Philadelphia 76ers,PHI,20,117.0,26.0,31.0,18.0,42.0
Chicago Bulls,CHI,4,115.0,35.0,29.0,30.0,21.0,Detroit Pistons,DET,8,111.0,19.0,30.0,30.0,32.0
Memphis Grizzlies,MEM,29,128.0,27.0,29.0,41.0,31.0,New Orleans Pelicans,NO,3,122.0,30.0,37.0,22.0,33.0
Milwaukee Bucks,MIL,15,133.0,40.0,32.0,29.0,32.0,Washington Wizards,WSH,27,120.0,23.0,30.0,37.0,30.0
Utah Jazz,UTAH,26,129.0,43.0,35.0,30.0,21.0,LA Clippers,LAC,12,108.0,19.0,28.0,33.0,28.0
Dallas Mavericks,DAL,6,92.0,29.0,22.0,21.0,20.0,San Antonio Spurs,SA,24,125.0,28.0,32.0,33.0,32.0
Phoenix Suns,PHX,21,120.0,19.0,35.0,36.0,30.0,Sacramento Kings,SAC,23,116.0,29.0,42.0,21.0,24.0
Portland Trail Blazers,POR,22,114.0,35.0,26.0,34.0,19.0,Minnesota Timberwolves,MIN,16,118.0,33.0,24.0,31.0,30.0
Indiana Pacers,IND,11,135.0,25.0,22.0,31.0,35.0,Oklahoma City Thunder,OKC,25,141.0,22.0,32.0,27.0,32.0
Golden State Warriors,GS,9,137.0,27.0,34.0,33.0,26.0,Denver Nuggets,DEN,7,131.0,31.0,39.0,24.0,26.0
Toronto Raptors,TOR,28,116.0,19.0,35.0,32.0,30.0,Milwaukee Bucks,MIL,15,122.0,27.0,25.0,34.0,36.0
Orlando Magic,ORL,19,107.0,24.0,37.0,25.0,21.0,Atlanta Hawks,ATL,1,111.0,25.0,26.0,27.0,33.0
Brooklyn Nets,BKN,17,124.0,23.0,28.0,35.0,38.0,Cleveland Cavaliers,CLE,5,131.0,34.0,29.0,45.0,23.0
New York Knicks,NY,18,105.0,22.0,42.0,18.0,23.0,Boston Celtics,BOS,2,95.0,30.0,14.0,21.0,30.0
Houston Rockets,HOU,10,111.0,33.0,23.0,30.0,25.0,Detroit Pistons,DET,8,115.0,32.0,31.0,24.0,28.0
