Tm,home_team,away_team,inning,player_name,pitcher,home_score,away_score,game_pk
0,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
1,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
2,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
3,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
4,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
5,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
6,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
7,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
8,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
9,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
10,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
11,AZ,LAD,1,"Wrobleski, Justin",680736,2,0,825050
12,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
13,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
14,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
15,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
16,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
17,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
18,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
19,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
20,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
21,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
22,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
23,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
24,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
25,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
26,AZ,LAD,1,"Wrobleski, Justin",680736,0,0,825050
27,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
28,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
29,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
30,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
31,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
32,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
33,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
34,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
35,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
36,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
37,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
38,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
39,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
40,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
41,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
42,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
43,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
44,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
45,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
46,AZ,LAD,1,"Rodriguez, Eduardo",593958,0,0,825050
47,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
48,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
49,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
50,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
51,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
52,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
53,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
54,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
55,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
56,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
57,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
58,BOS,ATH,1,"Ginn, J.T.",669372,0,1,824724
59,BOS,ATH,1,"Miller, Erik",669062,0,1,824724
60,BOS,ATH,1,"Miller, Erik",669062,0,1,824724
61,BOS,ATH,1,"Miller, Erik",669062,0,1,824724
62,BOS,ATH,1,"Miller, Erik",669062,0,1,824724
63,BOS,ATH,1,"Miller, Erik",669062,0,1,824724
64,BOS,ATH,1,"Miller, Erik",669062,0,1,824724
65,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
66,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
67,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
68,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
69,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
70,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
71,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
72,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
73,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
74,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
75,BOS,ATH,1,"Miller, Erik",669062,0,0,824724
76,CWS,CLE,1,"Cantillo, Joey",676282,1,2,824564
77,CWS,CLE,1,"Cantillo, Joey",676282,1,2,824564
78,CWS,CLE,1,"Cantillo, Joey",676282,1,2,824564
79,CWS,CLE,1,"Cantillo, Joey",676282,1,2,824564
80,CWS,CLE,1,"Cantillo, Joey",676282,1,2,824564
81,CWS,CLE,1,"Cantillo, Joey",676282,1,2,824564
82,CWS,CLE,1,"Cantillo, Joey",676282,1,2,824564
